Fund,Fund Manager,Category,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,classification
DSP US Flexible Equity FoF Reg(G),Jay Kothari,FOF-OVR,3.33,-3.01,2.29,3.07,-0.29,1.56,0.38,-1.84,3.99,1.61,FoFs : Overseas
DSP US Treasury FoF Reg(G),Jay Kothari,FOF-OVR,-,-1.99,1.04,1.68,2.22,1.97,0.9,-2.4,1.15,-0.1,FoFs : Overseas
DSP Value Fund Reg(G),Aparna Karnik,EQ-VAL,1.1,0.63,1.6,4.52,5.9,2.68,1.8,-4.91,0.87,-0.46,Equity : Value / Contra
DSP World Agriculture Fund Reg(G),Jay Kothari,FOF-OVR,1.95,-3.03,1.03,-1.75,3.11,3.94,1.32,-1.99,0.0,0.0,FoFs : Overseas
DSP World Gold FoF Reg(G),Jay Kothari,FOF-OVR,19.35,5.91,5.87,-3.6,9.23,4.93,3.17,1.94,-5.29,-7.7,FoFs : Overseas
DSP World Mining FoF Reg(G),Jay Kothari,FOF-OVR,9.21,5.95,2.86,-5.99,1.08,0.84,8.06,-5.62,-1.7,-8.78,FoFs : Overseas
Edelweiss Aggressive Hybrid Fund Reg(G),Bharat Lahoti,HY-MULTI,1.46,2.53,0.52,5.78,4.53,1.72,1.9,-4.81,-0.13,1.05,Hybrid : Multi Asset Allocation
Edelweiss Arbitrage Fund Reg(G),Bhavesh Jain,HY-ARB,0.64,0.68,0.6,0.61,0.58,0.55,0.49,0.64,0.51,0.66,Hybrid : Arbitrage
Edelweiss ASEAN Equity Off Shore Fund Reg(G),Bhavesh Jain,FOF-OVR,2,-1.5,-0.43,1.62,3.91,6.9,6.35,-4.08,0.8,-0.39,FoFs : Overseas
Edelweiss Balanced Advantage Fund Reg(G),Bhavesh Jain,HY-DYN,0.8,2.99,0.45,3.64,3.22,1.49,1.16,-4.26,-0.04,-0.36,Hybrid : Dynamic Asset Allocation
Edelweiss Banking and PSU Debt Fund Reg(G),Dhawal Dalal,DT-B&PSU,0.64,0.13,0.85,0.5,1.05,0.78,0.97,0.48,0.44,0.4,Debt : Banking & PSU
Edelweiss Business Cycle Fund Reg(G),Bhavesh Jain,EQ-THEM,-,-,-,-,-,0.94,1.03,-8.43,-1.42,1.62,Equity : Thematic
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund Reg(G),Dhawal Dalal,DT-LD,0.83,-0.42,1.67,0.78,0.94,1.08,1.43,0.12,0.43,0.68,Debt : Long Duration
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund Reg(G),Dhawal Dalal,DT-M&LD,0.53,0.32,0.88,0.7,0.96,0.68,0.73,0.43,0.54,0.47,Debt : Medium to Long Duration
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund Reg(G),Dhawal Dalal,DT-M&LD,0.58,0.16,0.99,0.69,1.11,0.74,0.9,0.37,0.54,0.46,Debt : Medium to Long Duration
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund Reg(G),Rahul Dedhia,DT-SD,0.49,0.38,0.83,0.65,0.99,0.68,0.79,0.37,0.52,0.5,Debt : Short Duration
Edelweiss CRISIL IBX AAA Financial Services Bond   Jan 2028 Index Fund Reg(G),Dhawal Dalal,DT-M&LD,-,-,-,-,-,-,-,-,-,0.59,Debt : Medium to Long Duration
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund Reg(G),Dhawal Dalal,DT-MD,0.61,0.52,0.65,0.55,0.75,0.55,0.64,0.59,0.49,0.56,Debt : Medium Duration
Edelweiss ELSS Tax saver Fund Reg(G),Ashwani Agarwalla,EQ-ELSS,1.15,3.19,1.75,8.25,2.96,2.07,1.88,-5.3,0.5,-0.89,Equity : Tax Saving (ELSS)
Edelweiss Emerging Markets Opp Eq. Offshore Fund Reg(G),Bhavesh Jain,FOF-OVR,2.13,0.75,-0.45,5.21,-1.16,0.49,4.15,-5.38,-2.28,2.15,FoFs : Overseas
Edelweiss Equity Savings Fund Reg(G),Bharat Lahoti,HY-EQ,0.69,1.44,0.8,2.52,1.61,1.31,1.11,-1.17,0.21,1.44,Hybrid : Equity Oriented
Edelweiss Europe Dynamic Equity Off shore Fund Reg(G),Bhavesh Jain,FOF-OVR,7.07,-2.23,3.96,-3.4,2.58,3.72,0.29,-4.45,-1.98,-1.92,FoFs : Overseas
Edelweiss Flexi Cap Fund Reg(G),Trideep Bhattacharya,EQ-FLEX,1.53,4.26,2.37,8.6,3.49,2.11,2.49,-5.71,0.73,-0.83,Equity : Flexi Cap
Edelweiss Focused Fund Reg(G),Trideep Bhattacharya,EQ-FLEX,1.21,3.02,2.18,9.1,2.89,2.45,1.51,-5.64,1.29,-0.24,Equity : Flexi Cap
Edelweiss Gold and Silver ETF FoF Reg(G),Bhavesh Jain,FOF-DOM,6.9,7.29,7.86,-2.86,-4.29,2.47,5.55,5.98,-5.67,-2.12,FoFs : Domestic
Edelweiss Gold ETF,Amit Vora,GOLD-ETF,7.72,6.54,0.78,-0.78,-3.44,3.67,4.54,5.29,-3.43,-0.66,Gold : ETFs
Edelweiss Government Securities Fund Reg(G),Rahul Dedhia,DT-GILT,0.84,-0.7,1.93,0.57,0.94,0.96,1.45,-0.24,0.37,0.37,Debt : Gilt
Edelweiss Gr China Equity Off Shore Fund Reg(G),Bhavesh Jain,FOF-OVR,1.81,4.03,0.96,1.22,-4.78,1.78,17.17,-4.91,-3.71,4.87,FoFs : Overseas
Edelweiss Large & Mid Cap Fund Reg(G),Sumanta Khan,EQ-L&M,0.45,3.34,1.24,9.44,3.7,2.2,2.39,-5.05,1.23,-0.07,Equity : Large & Mid Cap
Edelweiss Large Cap Fund Reg(G),Bharat Lahoti,EQ-LC,1.8,2.71,0.22,6.58,4.29,1.73,1.94,-6.38,-0.86,-1.13,Equity : Large Cap
Edelweiss Liquid Fund Reg(G),Rahul Dedhia,DT-LIQ,0.64,0.62,0.6,0.57,0.6,0.58,0.58,0.59,0.56,0.59,Debt : Liquid
Edelweiss Mid Cap Fund Reg(G),Trideep Bhattacharya,EQ-MID,-0.46,6.29,3.33,10.56,3.81,3.46,2.06,-4.04,1.76,1.44,Equity : Mid Cap
Edelweiss Money Market Fund Reg(G),Pranavi Kulkarni,DT-DYN,0.69,0.55,0.55,0.5,0.65,0.51,0.6,0.58,0.5,0.54,Debt : Dynamic Bond
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,1.2,-1.07,-0.23,5.38,6.22,6.06,0.57,-2.41,-2.08,2.61,Equity : Index Funds
Edelweiss Multi Asset Allocation Fund Reg(G),Bhavesh Jain,HY-MULTI,0.72,0.69,0.67,0.51,0.71,0.81,0.77,0.56,0.54,0.56,Hybrid : Multi Asset Allocation
Edelweiss Multi Cap Fund Reg(G),Trideep Bhattacharya,EQ-MLC,0.63,4.63,1,10.05,3.51,3.41,2.01,-4.86,0.88,-0.53,Equity : Multi Cap
Edelweiss Nifty 100 Quality 30 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,0.43,1.43,3.38,5.5,6.36,1.89,2.56,-8.49,-0.22,-3.11,Equity : Index Funds
Edelweiss Nifty 50 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,1.44,1.19,-0.02,6.52,3.9,1.32,2.23,-6.16,-0.31,-2.07,Equity : Index Funds
Edelweiss Nifty Alpha Low Volatility 30 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,-,-,-,5.86,6.46,1.71,2.53,-8.54,-2.49,-2.02,Equity : Index Funds
Edelweiss Nifty Bank ETF,Bhavesh Jain,EQ-ETF,-,-,-,-,-,-,-,-2.84,1.12,-2.31,Equity : ETFs
Edelweiss NIFTY Large Mid Cap 250 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,0.59,4.2,1.39,7.17,4.51,0.71,2.0,-6.64,0.05,-0.61,Equity : Index Funds
Edelweiss Nifty Midcap150 Momentum 50 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,1.47,7.52,4.46,5.17,4.54,1.16,0.88,-6.06,1.09,0.75,Equity : Index Funds
Edelweiss Nifty Next 50 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,2.75,6.92,4.01,5.91,4.59,0.71,2.2,-9.34,1.17,-3.81,Equity : Index Funds
Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50:50 Index Fund Reg(G),Dhawal Dalal,DT-B&PSU,0.63,0.46,0.69,0.57,0.78,0.6,0.63,0.65,0.46,0.54,Debt : Banking & PSU
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50:50 Index Fund Reg(G),Dhawal Dalal,DT-M&LD,0.62,0.41,0.79,0.6,0.91,0.62,0.76,0.59,0.47,0.51,Debt : Medium to Long Duration
Edelweiss Nifty Smallcap 250 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,-4.15,10.37,-1.34,9.45,4.9,1.29,1.19,-3.65,-0.19,0.11,Equity : Index Funds
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,Bhavesh Jain,EQ-ETF,-,-,-,-,-,-,-,-,1.73,-2.87,Equity : ETFs
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund Reg(G),Bhavesh Jain,EQ-INDX,-,-,-,-,-,-,-,-,1.68,-2.95,Equity : Index Funds
Edelweiss Overnight Fund Reg(G),Pranavi Kulkarni,DT-ON,0.55,0.53,0.54,0.53,0.53,0.53,0.52,0.53,0.52,0.55,Debt : Overnight
Edelweiss Recently Listed IPO Fund Reg(G),Bhavesh Jain,EQ-THEM,-3.35,6.48,-2.32,9.39,3.01,2.34,3.19,-5.38,4.05,3.54,Equity : Thematic
Edelweiss Silver ETF,Amit Vora,GOLD-ETF,6.71,7.71,14.91,-4.74,-5.6,2.42,5.25,7.56,-7.3,-3.86,Gold : ETFs
Edelweiss Small Cap Fund Reg(G),Trideep Bhattacharya,EQ-SML,-1.09,6.88,0.07,9.82,3.59,2.36,2.35,-2.83,0.82,-0.53,Equity : Small Cap
Edelweiss Technology Fund Reg(G),Sumanta Khan,EQ-TECH,-,-1.68,1.82,10.48,5.83,3.28,0.07,-3.04,4.81,0.85,Equity : Sectoral - Technology
Edelweiss US Technology Equity FOF Reg(G),Bhavesh Jain,FOF-OVR,1.24,-4.79,0.57,9.6,-6.73,2.14,3.07,0.97,11.61,-0.61,FoFs : Overseas
Edelweiss US Value Equity Offshore Fund Reg(G),Bhavesh Jain,FOF-OVR,4.49,-2.3,0.8,0.76,3.87,1.95,1.01,0.85,6.68,-6.96,FoFs : Overseas
Franklin Asian Equity Fund(G),Shyam Sundar Sriram,EQ-INTL,4.28,-0.27,-0.34,6.92,1.11,1.64,5.6,-3.9,-2.25,1.95,Equity : International
Franklin Build India Fund(G),Ajay Argal,EQ-INFRA,0.64,8.21,3.23,6.2,2.77,-0.39,0.57,-3.54,0.08,-2.91,Equity : Sectoral - Infrastructure
Franklin India Arbitrage Fund Reg(G),Rajasa Kakulavarapu,HY-ARB,-,-,-,-,-,-,-,-,-,0.54,Hybrid : Arbitrage
Franklin India Balanced Advantage Fund Reg(G),Rajasa Kakulavarapu,HY-DYN,0.21,2.59,1.16,3.41,2.21,0.95,0.52,-1.72,0.97,0.51,Hybrid : Dynamic Asset Allocation
Franklin India Banking & PSU Debt Fund(G),Chandni Gupta,DT-B&PSU,0.61,0.45,0.65,0.49,0.91,0.62,0.76,0.57,0.48,0.58,Debt : Banking & PSU
Franklin India Bluechip Fund(G),Venkatesh Sanjeevi,EQ-LC,1.54,0.79,0.24,8.16,4.31,1.59,3.15,-6.56,1.08,-1.58,Equity : Large Cap
Franklin India Corp Debt Fund A(G),Anuj Tagra,DT-CORP,0.61,0.42,0.7,0.5,0.88,0.62,0.75,0.64,0.59,0.53,Debt : Corporate Bond
Franklin India Debt Hybrid Fund(G),Rohan Maru,HY-DT(CO),0.52,1.28,0.88,1.92,1.8,0.9,0.85,-0.87,0.63,0.3,Hybrid : Debt Oriented (Conservative)
Franklin India Dynamic Asset Allocation FOFs(G),Rajasa Kakulavarapu,FOF-DOM,0.65,1.85,0.72,3.21,2.25,1.16,1.14,-2.03,0.62,0.08,FoFs : Domestic
Franklin India ELSS Tax Saver Fund(G),R. Janakiraman,EQ-ELSS,0.62,3.84,0.8,7.2,4.6,1.66,1.93,-5.35,1.03,-0.21,Equity : Tax Saving (ELSS)
Franklin India Equity Advantage Fund(G),Venkatesh Sanjeevi,EQ-L&M,0.29,3.06,0.3,10.09,4.4,1.5,3.78,-7.17,1.12,-1.23,Equity : Large & Mid Cap
Franklin India Equity Hybrid Fund(G),Rajasa Kakulavarapu,HY-EQ,0.4,2.78,1.04,4.66,3.63,1.32,0.77,-3.27,0.97,0.12,Hybrid : Equity Oriented
Franklin India Equity Savings Fund(G),Rajasa Kakulavarapu,HY-EQ,0.46,0.98,0.83,1.34,1.61,0.8,0.48,-0.44,0.73,0.21,Hybrid : Equity Oriented
Franklin India Feeder   Franklin U.S. Opportunities Fund(G),Sandeep Manam,FOF-OVR,1.96,-5.18,4.15,5.91,-2.08,3.3,2.5,-1.08,6.64,-1.86,FoFs : Overseas
Franklin India Feeder   Templeton European Opportunities Fund(G),Sandeep Manam,FOF-OVR,4.14,-1.52,8.46,-4.1,5.56,2.75,-0.07,-6.42,-1.91,-1.13,FoFs : Overseas
Franklin India Flexi Cap Fund(G),R. Janakiraman,EQ-FLEX,0.66,3.96,0.82,7,4.48,1.67,1.78,-5.23,0.85,-0.21,Equity : Flexi Cap
Franklin India Floating Rate Fund(G),Pallab Roy,DT-FL,0.82,0.72,0.58,0.62,1.05,0.69,0.64,0.51,0.6,0.45,Debt : Floater
Franklin India Focused Equity Fund(G),Ajay Argal,EQ-MLC,1.94,3.54,0.8,6.82,3.16,1.96,2.51,-7.26,1.35,-1.27,Equity : Multi Cap
Franklin India G Sec Fund(G),Anuj Tagra,DT-GILT,0.48,0.25,0.83,0.5,1,0.82,1.01,0.18,0.55,0.51,Debt : Gilt
Franklin India Liquid Fund Super Inst(G),Pallab Roy,DT-LIQ,0.64,0.62,0.6,0.57,0.61,0.58,0.59,0.59,0.57,0.59,Debt : Liquid
Franklin India Medium to Long Duration Fund Reg(G),Chandni Gupta,DT-M&LD,-,-,-,-,-,-,-,0.04,0.75,0.48,Debt : Medium to Long Duration
Franklin India Money Market Fund(G),Rohan Maru,DT-MM,0.73,0.6,0.61,0.55,0.69,0.56,0.66,0.6,0.55,0.62,Debt : Money Market
Franklin India Multi Cap Fund Reg(G),R. Janakiraman,EQ-MLC,-,-,-,-,-,2.32,1.48,-4.96,1.28,0.13,Equity : Multi Cap
Franklin India Multi Asset Solution FoF(G),Rajasa Kakulavarapu,FOF-DOM,2.49,2.29,0.24,2.81,0.82,1.69,2.02,-1.72,0.03,-0.37,FoFs : Domestic
Franklin India NSE Nifty 50 Index Fund(G),Shyam Sundar Sriram,EQ-INDX,1.51,1.18,-0.05,6.68,3.9,1.29,2.33,-6.14,-0.3,-2.06,Equity : Index Funds
Franklin India Opportunities Fund(G),R. Janakiraman,EQ-THEM,-0.3,10.15,4.23,7.39,3.58,1.69,0.67,-4.22,1.52,0.13,Equity : Thematic
Franklin India Overnight Fund(G),Pallab Roy,DT-ON,0.55,0.53,0.55,0.53,0.53,0.53,0.52,0.53,0.52,0.55,Debt : Overnight
Franklin India Pension Plan(G),Anuj Tagra,HY-SOL,0.4,1.76,0.85,2.84,2.54,0.96,0.7,-1.65,0.74,0.3,Hybrid : Solution Oriented
Franklin India Prima Fund(G),R. Janakiraman,EQ-MID,-0.52,6.33,3.2,9.86,4.83,1.92,1.91,-4.52,0.94,1.01,Equity : Mid Cap
Franklin India Smaller Cos Fund(G),R. Janakiraman,EQ-SML,-2.13,9.35,1.9,9.61,3.55,-0.41,0.36,-3.72,0.3,-0.15,Equity : Small Cap
Franklin India ST Income Plan(G),Santosh Kamath,DT-SD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Debt : Short Duration
Franklin India Technology Fund(G),R. Janakiraman,EQ-TECH,-1.88,2.36,-3.37,9.88,7.69,4.22,-1.55,-4.79,4.8,0.68,Equity : Sectoral - Technology
Franklin India Ultra Short Duration Fund Reg(G),Rohan Maru,DT-USD,-,-,-,-,-,-,0.61,0.6,0.52,0.54,Debt : Ultra Short Duration
Groww Aggressive Hybrid Fund Reg(G),Anupam Tiwari,HY-EQ,1.75,2.25,1.67,4,1.74,0.17,2.07,-3.9,0.12,-2.01,Hybrid : Equity Oriented
Groww Banking & Financial Services Fund Reg(G),Anupam Tiwari,EQ-FIN,0.94,4.15,-1.53,5.8,-0.38,0.74,3.15,-1.64,0.0,-0.85,Equity : Sectoral - Financial Services
Groww Dynamic Bond Fund Reg(G),Kaustubh Sule,DT-DYN,0.4,0.04,0.82,0.41,0.92,0.51,1.37,0.03,0.39,0.4,Debt : Dynamic Bond
Groww ELSS Tax Saver Fund Reg(G),Anupam Tiwari,EQ-ELSS,0.95,2.88,1.02,6.28,2.51,1.96,1.92,-4.94,1.43,-1.07,Equity : Tax Saving (ELSS)
Groww Gold ETF,Wilfred Gonsalves,GOLD-ETF,-,-,-,-,-,-,-,-,-3.41,-0.66,Gold : ETFs
Groww Gold ETF FOF Reg(G),Wilfred Gonsalves,GOLD-MF,-,-,-,-,-,-,-,-,-,-0.8,Gold : MFs
Groww Largecap Fund Reg(G),Anupam Tiwari,EQ-LC,2.31,2.03,1.66,5.81,2.15,0.43,2.23,-6.24,0.43,-2.49,Equity : Large Cap
Groww Liquid Fund Reg(G),Kaustubh Sule,DT-LIQ,0.64,0.63,0.6,0.56,0.61,0.56,0.6,0.59,0.54,0.6,Debt : Liquid
Groww Nifty 1D Rate Liquid ETF,Kaustubh Sule,DT-ETF,-,-,-,-,-,-,-,0.53,0.49,0.58,Debt : ETFs
Groww Nifty EV & New Age Automotive ETF,Abhishek Jain,EQ-ETF,-,-,-,-,-,-,2.95,-10.66,-2.17,-2.72,Equity : ETFs
Groww Nifty EV & New Age Automotive ETF FOF Reg(G),Abhishek Jain,FOF-DOM,-,-,-,-,-,-,2.99,-10.68,-2.42,-2.68,FoFs : Domestic
Groww Nifty India Defence ETF,Abhishek Jain,EQ-ETF,-,-,-,-,-,-,-,-,5.64,-3.23,Equity : ETFs
Groww Nifty India Defence ETF FOF Reg(G),Abhishek Jain,FOF-DOM,-,-,-,-,-,-,-,-,5.22,-2.74,FoFs : Domestic
Groww Nifty Non Cyclical Consumer Index Fund Reg(G),Abhishek Jain,EQ-INDX,-,-,-,7.19,6.55,4.32,4.6,-10.38,0.41,-0.58,Equity : Index Funds
Groww Nifty Smallcap 250 Index Fund Reg(G),Abhishek Jain,EQ-INDX,-4.39,10.3,-1.38,9.43,4.87,1.3,1.15,-3.64,-0.22,0.09,Equity : Index Funds
Groww Nifty Total Market Index Fund Reg(G),Abhishek Jain,EQ-INDX,0.47,3.76,0.56,7.07,4.37,0.96,2.08,-6.32,0.0,-1.43,Equity : Index Funds
Groww Overnight Fund Reg(G),Kaustubh Sule,DT-ON,0.55,0.53,0.55,0.53,0.54,0.52,0.54,0.52,0.49,0.56,Debt : Overnight
Groww Short Duration Fund Reg(G),Kaustubh Sule,DT-SD,0.43,0.27,0.67,0.56,0.9,0.61,0.71,0.4,0.42,0.47,Debt : Short Duration
Groww Value Fund Reg(G),Anupam Tiwari,EQ-VAL,0.59,2.41,0.63,5.29,3.55,0.53,1.79,-4.4,0.31,-2.83,Equity : Value / Contra
HDFC Arbitrage WP(G),Arun Agarwal,HY-ARB,0.63,0.69,0.58,0.64,0.61,0.6,0.49,0.64,0.5,0.64,Hybrid : Arbitrage
HDFC Asset Allocator FoF Reg(G),Srinivasan Ramamurthy,FOF-DOM,1.51,2.65,0.82,3.19,1.88,1.25,1.94,-1.38,-0.37,-0.49,FoFs : Domestic
HDFC Balanced Advantage Fund(G),Gopal Agrawal,HY-DYN,0.52,3.67,2.44,2.92,3.62,0.29,0.38,-2.43,0.09,-0.78,Hybrid : Dynamic Asset Allocation
HDFC Banking & Financial Services Fund Reg(G),Anand Laddha,EQ-FIN,-0.21,6.22,-1.29,7.77,-0.43,1.1,3.16,-3.39,-0.41,-1.16,Equity : Sectoral - Financial Services
HDFC Banking and PSU Debt Fund Reg(G),Anil Bamboli,DT-B&PSU,0.65,0.26,0.86,0.5,0.89,0.7,0.83,0.52,0.46,0.54,Debt : Banking & PSU
HDFC BSE 500 ETF,Abhishek Mor,EQ-ETF,0.83,3.41,0.81,7.02,4.41,0.93,2.06,-6.47,-0.03,-1.52,Equity : ETFs
HDFC BSE 500 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,0.78,3.33,0.63,6.86,4.24,0.88,2.01,-6.5,-0.03,-1.57,Equity : Index Funds
HDFC BSE Sensex ETF,Abhishek Mor,EQ-ETF,1.58,1.13,-0.33,7.07,3.51,0.95,2.34,-5.71,0.56,-2.1,Equity : ETFs
HDFC BSE Sensex Index Fund(G)(Post Addendum),Nirman Morakhia,EQ-INDX,1.58,1.1,-0.36,7.03,3.48,0.92,2.31,-5.73,0.53,-2.13,Equity : Index Funds
HDFC Business Cycle Fund Reg(G),Rahul Baijal,EQ-THEM,1.2,2.62,0.32,6.54,3.72,1.76,2.17,-6.38,0.86,-0.22,Equity : Thematic
HDFC Capital Builder Value Fund(G),Anand Laddha,EQ-VAL,0.07,4.55,1.68,7.6,4.46,1.8,2.19,-5.13,-0.58,-1.46,Equity : Value / Contra
HDFC Childrens Fund,Chirag Setalvad,HY-SOL,0.15,3.91,1.4,4.42,3.24,0.58,1.47,-2.13,0.4,-0.29,Hybrid : Solution Oriented
HDFC Corp Bond Fund(G),Anupam Joshi,DT-CORP,0.74,0.39,0.85,0.57,0.89,0.75,0.97,0.56,0.5,0.51,Debt : Corporate Bond
HDFC Credit Risk Debt Fund (G),Shobhit Mehrotra,DT-CR,0.76,0.26,0.74,0.5,0.85,1,0.81,0.62,0.37,0.42,Debt : Credit Risk
HDFC Defence Fund Reg(G),Abhishek Poddar,EQ-THEM,1.87,14.53,14.34,8.84,0.2,-4.69,-3.49,-2.73,5.87,-3.96,Equity : Thematic
HDFC Developed World Indexes FoF Reg(G),Nirman Morakhia,FOF-OVR,3.9,-2.47,2.63,3.17,1.48,2.44,1.68,-0.42,3.47,0.21,FoFs : Overseas
HDFC Dividend Yield Fund Reg(G),Gopal Agrawal,EQ-DIV,0.27,4.01,0.74,6.86,5.68,0.86,1.6,-6.09,-0.89,-1.43,Equity : Thematic - Dividend Yield
HDFC Dynamic Debt Fund(G),Anil Bamboli,DT-DYN,0.9,-0.39,1.48,0.63,0.9,1.02,1.35,-0.12,0.4,0.34,Debt : Dynamic Bond
HDFC Dynamic PE Ratio FOF Reg(G),Srinivasan Ramamurthy,FOF-DOM,0.26,1.96,0.6,3.31,2.95,0.83,1.23,-1.85,0.24,0.01,FoFs : Domestic
HDFC ELSS Tax saver(G),Roshi Jain,EQ-ELSS,1.04,3.55,2.27,6.5,3.33,1.94,2.25,-4.9,0.02,-1.41,Equity : Tax Saving (ELSS)
HDFC Equity Savings Fund(G),Srinivasan Ramamurthy,HY-EQ,0.7,1.21,0.51,2.19,2.12,0.86,0.89,-1.38,0.01,-0.28,Hybrid : Equity Oriented
HDFC Flexi Cap Fund(G),Roshi Jain,EQ-FLEX,1.19,3.26,2.11,6.51,3.3,1.71,2.93,-3.74,0.33,-1.27,Equity : Flexi Cap
HDFC Floating Rate Debt Fund(G),Shobhit Mehrotra,DT-FL,0.79,0.7,0.59,0.63,0.95,0.69,0.6,0.73,0.53,0.52,Debt : Floater
HDFC Focused 30 Fund(G),Roshi Jain,EQ-MLC,1.49,3.5,2.23,6.56,2.86,1.48,3.38,-3.56,0.73,-1.63,Equity : Multi Cap
HDFC Gilt Fund(G),Anil Bamboli,DT-GILT,0.68,-0.36,1.63,0.67,0.98,0.96,1.44,-0.18,0.52,0.48,Debt : Gilt
HDFC Gold ETF,Bhagyesh Kagalkar,GOLD-ETF,8.37,5.47,1.01,-0.4,-3.63,3.67,4.56,5.37,-3.51,-0.66,Gold : ETFs
HDFC Gold ETF FoF(G),Nirman Morakhia,GOLD-MF,7.58,7.76,0.47,-0.48,-3.29,3.23,4.3,5.03,-3.78,-0.42,Gold : MFs
HDFC Housing Opp Fund Reg(G),Srinivasan Ramamurthy,EQ-INFRA,-0.03,6.81,1.92,8.08,1.66,-1.39,1.54,-5.09,-2.81,-0.84,Equity : Sectoral - Infrastructure
HDFC Hybrid Debt Fund(G),Srinivasan Ramamurthy,HY-DT(CO),0.58,0.99,1.16,1.57,2.05,0.83,0.74,-0.84,0.15,-0.09,Hybrid : Debt Oriented (Conservative)
HDFC Hybrid Equity Fund(G),Chirag Setalvad,HY-EQ,0.59,2.33,0.89,4.66,2.73,0.55,1.02,-2.77,0.66,-0.79,Hybrid : Equity Oriented
HDFC Income Fund(G),Shobhit Mehrotra,DT-M&LD,0.93,-0.42,1.45,0.62,0.92,0.95,1.23,-0.03,0.44,0.45,Debt : Medium to Long Duration
HDFC Infrastructure Fund(G),Srinivasan Ramamurthy,EQ-INFRA,0.24,7.48,2.07,6.04,4.18,-0.94,0.87,-4.06,-1.52,-1.55,Equity : Sectoral - Infrastructure
HDFC Large and Mid Cap Fund Reg(G),Gopal Agrawal,EQ-L&M,0.31,4.87,1.27,7.23,5.05,0.8,1.77,-6.36,0.16,-0.58,Equity : Large & Mid Cap
HDFC Liquid Fund(G),Anupam Joshi,DT-LIQ,0.65,0.62,0.59,0.56,0.6,0.57,0.58,0.58,0.56,0.58,Debt : Liquid
HDFC Long Duration Debt Fund Reg(G),Shobhit Mehrotra,DT-LD,1,-1.53,2.42,1.31,0.69,1.15,1.86,-0.46,0.05,0.57,Debt : Long Duration
HDFC Low Duration Fund(G),Anupam Joshi,DT-LOWD,0.71,0.64,0.55,0.55,0.74,0.54,0.58,0.68,0.48,0.53,Debt : Low Duration
HDFC Manufacturing Fund Reg(G),Rakesh Sethia,EQ-THEM,-,-,-,5.28,4.57,-0.27,1.84,-7.15,-0.61,-1.44,Equity : Thematic
HDFC Medium Term Debt Fund(G),Shobhit Mehrotra,DT-MD,0.67,0.14,0.95,0.53,0.9,0.85,0.96,0.39,0.45,0.44,Debt : Medium Duration
HDFC Mid Cap Opportunities Fund(G),Chirag Setalvad,EQ-MID,-0.11,4.27,2.48,7.13,6.24,-0.67,2.69,-4.09,0.4,1.68,Equity : Mid Cap
HDFC MNC Fund Reg(G),Rahul Baijal,EQ-MNC,-0.1,3.69,4.16,7.55,3.03,-1.09,3.37,-8.29,-0.79,-2.17,Equity : Thematic - MNC
HDFC Money Market Fund Reg(G),Praveen Jain,DT-MM,0.76,0.6,0.61,0.55,0.69,0.55,0.65,0.61,0.55,0.6,Debt : Money Market
HDFC Multi Cap Fund Reg(G),Gopal Agrawal,EQ-MLC,-0.66,5.93,0.88,8.33,5.09,0.73,1.46,-6.13,-0.34,0.31,Equity : Multi Cap
HDFC Multi Asset Fund(G),Srinivasan Ramamurthy,HY-MULTI,1.34,2.36,0.49,3.84,2.49,1.24,1.53,-1.8,-0.58,-0.76,Hybrid : Multi Asset Allocation
HDFC NIFTY 100 Equal Weight Index Fund Reg(G),Nirman Morakhia,EQ-INDX,1.88,3.38,2.01,5.54,5.49,0.56,2.39,-8.47,-0.93,-2.43,Equity : Index Funds
HDFC Nifty 100 ETF,Abhishek Mor,EQ-ETF,1.73,2.23,0.61,6.46,4.12,1.12,2.31,-6.74,-0.01,-2.24,Equity : ETFs
HDFC NIFTY 100 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,1.76,2.17,0.57,6.36,4.05,1.08,2.27,-6.78,-0.06,-2.28,Equity : Index Funds
